Time,RSRP,RSRQ,RSSI,SINR Rx[0],SINR Rx[1],Cycles,Test KPI type,Test KPI best,Test KPI worst,Test KPI avg,Intermediate KPI
2017-11-27 14:11:36.555,-69.4,-24.9,-65.9,23.3,23.2,2/0,Application thrpt,42612.8,42612.8,42612.8,118503
2017-11-27 14:11:37.35,-69.4,-7.9,-68.1,24.6,24.8,2/0,Application thrpt,42612.8,42612.8,42612.8,118503
2017-11-27 14:11:37.115,-69.4,-7.9,-68.1,24.6,24.8,2/0,Application thrpt,42612.8,42612.8,42612.8,130545
2017-11-27 14:11:37.550,-72,-23.3,-75.5,23.3,23.4,2/0,Application thrpt,42612.8,42612.8,42612.8,130545
2017-11-27 14:11:38.30,-73.8,-25.2,-84.9,21.8,21.2,2/0,Application thrpt,42612.8,42612.8,42612.8,130545
2017-11-27 14:11:38.490,-72.3,-22.9,-80.9,22,21.3,2/0,Application thrpt,42612.8,42612.8,42612.8,130545
2017-11-27 14:11:39.110,-73.5,-15.8,-81.9,22.4,21.9,2/0,Application thrpt,42612.8,42612.8,42612.8,130545
2017-11-27 14:11:39.120,-73.5,-15.8,-81.9,22.4,21.9,2/0,Application thrpt,42612.8,42612.8,42612.8,131874
2017-11-27 14:11:39.590,-73.9,-23.3,-85.3,22.8,22.1,2/0,Application thrpt,42612.8,42612.8,42612.8,131874
2017-11-27 14:11:40.110,-73.9,-28.1,-86,22.7,21.6,2/0,Application thrpt,42612.8,42612.8,42612.8,131874
2017-11-27 14:11:40.630,-74.4,-10.3,-85.7,23.6,22.8,2/0,Application thrpt,42612.8,42612.8,42612.8,131874
2017-11-27 14:11:41.105,-75.7,-28.4,-91.9,21.6,20.4,2/0,Application thrpt,42612.8,42612.8,42612.8,131874
2017-11-27 14:11:41.120,-75.7,-28.4,-91.9,21.6,20.4,2/0,Application thrpt,42612.8,42612.8,42612.8,124196
2017-11-27 14:11:41.630,-77.5,-24.4,-96.9,22.3,21.6,2/0,Application thrpt,42612.8,42612.8,42612.8,124196
2017-11-27 14:11:42.105,-79.6,-25.4,-102.6,20.7,20.3,2/0,Application thrpt,42612.8,42612.8,42612.8,124196
2017-11-27 14:11:42.640,-81.2,-25.4,-108.1,20.3,19.5,2/0,Application thrpt,42612.8,42612.8,42612.8,124196
2017-11-27 14:11:43.80,-80,-27.9,-104.8,21.2,20.4,2/0,Application thrpt,42612.8,42612.8,42612.8,124196
2017-11-27 14:11:43.380,-80,-27.9,-104.8,21.2,20.4,2/0,Application thrpt,42612.8,42612.8,42612.8,55568
2017-11-27 14:11:43.895,-82.7,-13.6,-16.1,19.7,20.1,2/0,Application thrpt,42612.8,42612.8,42612.8,55568
2017-11-27 14:11:44.405,-83,-16.6,-19.7,18,20.5,2/0,Application thrpt,42612.8,42612.8,42612.8,55568
2017-11-27 14:11:44.915,-84,-25.5,-15.4,19.1,19.1,2/0,Application thrpt,42612.8,42612.8,42612.8,55568
2017-11-27 14:11:45.130,-84,-25.5,-15.4,19.1,19.1,2/0,Application thrpt,42612.8,42612.8,42612.8,75371
2017-11-27 14:11:47.130,-84,-25.5,-15.4,19.1,19.1,2/0,Application thrpt,42612.8,42612.8,42612.8,80101
